molecule_chembl_id,canonical_smiles,standard_value
CHEMBL2377161,COc1ccc(C2COc3cc(OC)ccc3C2O)cc1,3867000.0
CHEMBL2377160,COc1ccc(C(C)C(=O)c2ccc(OC)cc2O)cc1,2178000.0
CHEMBL1373918,COc1ccc(C(C)C(=O)c2ccc(O)cc2O)cc1,1050000.0
CHEMBL2377159,COc1ccc(C2=CCc3c(OC)c(OC)c(OC)c(OC)c3O2)cc1,3791000.0
CHEMBL2377158,COc1ccc(C2C=Cc3c(OC)c(OC)c(OC)c(OC)c3O2)cc1,4172000.0
CHEMBL2377157,COc1ccc(C2CC(O)c3c(OC)c(OC)c(OC)c(OC)c3O2)cc1,4853000.0
CHEMBL337309,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,43700.0
CHEMBL32571,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,328000.0
CHEMBL2425482,O=C(CC(O)c1cc(Cl)cc(Cl)c1O)NO,8900.0
CHEMBL2425480,O=C(CC(O)c1cc(Cl)ccc1O)NO,11300.0
CHEMBL2425479,O=C(CC(O)c1ccc(Cl)c(Cl)c1)NO,1420.0
CHEMBL2425478,O=C(CC(O)c1cccc(Cl)c1Cl)NO,910.0
CHEMBL2425471,O=C(CC(O)c1cccc(C(F)(F)F)c1)NO,6810.0
CHEMBL2425470,O=C(CC(O)c1cccc(F)c1)NO,13300.0
CHEMBL2425469,O=C(CC(O)c1cccc(Cl)c1)NO,360.0
CHEMBL2425465,O=C(CC(O)c1ccccc1Cl)NO,9210.0
CHEMBL2425483,CN(C)c1ccc(C(=O)NO)cc1,77900.0
CHEMBL2425481,COc1ccc(F)cc1C(O)CC(=O)NO,11000.0
CHEMBL2425477,CN(C)c1ccc(C(O)CC(=O)NO)cc1,7130.0
CHEMBL2425476,O=C(CC(O)c1ccc(C(F)(F)F)cc1)NO,7890.0
CHEMBL2425475,O=C(CC(O)c1ccc(F)cc1)NO,8010.0
CHEMBL2425474,O=C(CC(O)c1ccc(Cl)cc1)NO,3390.0
